Date,Open,High,Low,Close,Volume
2019-05-08,2236.63,2250.19,2217.31,2221.82,22679250
2019-05-09,2218.05,2227.52,2177.76,2179.4,21730364
2019-05-10,2191.75,2210.31,2184.33,2191.91,22665036
2019-05-13,2194.7,2199.9,2153.7,2172.97,19985331
2019-05-14,2184.39,2192.53,2162.4,2163.94,25230002
2019-05-15,2176.3,2181.49,2152.99,2169.18,29226451
2019-05-16,2174.1,2193.89,2162.46,2188.43,21947998
2019-05-17,2187.18,2187.18,2165.97,2184.35,19175312
2019-05-20,2186.97,2189.1,2159.78,2175.51,19882122
2019-05-21,2178.92,2191.28,2173.74,2190.93,22502583
2019-05-22,2193.78,2225.3,2181.14,2214.36,20965698
2019-05-23,2212.6,2212.6,2172.96,2173.09,23235197
2019-05-24,2178.44,2193.7,2175.03,2188.2,18081221
2019-05-27,2191.26,2199.3,2177.84,2189.66,9077091
2019-05-28,2191.17,2215.33,2184.7,2192.87,44697001
2019-05-29,2179.87,2187.54,2162.4,2187.45,32752758
2019-05-30,2190.88,2228.81,2190.88,2221.56,30831212
2019-05-31,2208.43,2239.31,2194.96,2239.31,23223958
2019-06-03,2239.12,2248.09,2227.89,2237.71,15759707
2019-06-04,2237.74,2242.52,2222.32,2233.75,18733701
2019-06-05,2237.23,2242.22,2219.94,2223.27,27022940
2019-06-06,2224.2,2272.07,2222.81,2260.94,43220594
2019-06-07,2260.52,2287.39,2260.52,2280.6,23636701
2019-06-10,2290.4,2296.33,2271.09,2282.51,18082030
2019-06-11,2283.9,2300.92,2275.67,2295.6,29044984
2019-06-12,2290.75,2292.41,2263.68,2282.8,29303418
2019-06-13,2282.72,2310.66,2277.12,2300.2,26105922
2019-06-14,2299.03,2299.09,2283.94,2286.46,20505698
2019-06-17,2286.57,2290.79,2269.87,2276.6,20062371
2019-06-18,2277.52,2325.16,2272.26,2325.16,36181816
2019-06-19,2326.56,2327.46,2316.84,2319.71,22041318
2019-06-21,2324.16,2343.66,2302.71,2308.32,61717378
2019-06-24,2315.79,2332.8,2311.55,2331.08,19030821
2019-06-25,2328.99,2328.99,2296.97,2303.31,29021864
2019-06-26,2308.98,2318.68,2300.51,2317.17,37539552
2019-06-27,2315.73,2347.62,2315.73,2335.13,37401033
2019-06-28,2332.63,2335.26,2323.55,2327.67,19367679
2019-07-01,2338.98,2363.21,2326.49,2329.74,21199057
2019-07-02,2334.6,2341.09,2310.49,2341.09,22876390
2019-07-03,2338.73,2349.15,2330.53,2345.56,19650157
2019-07-04,2350.47,2357.89,2338.9,2356.49,13908735
2019-07-05,2359.39,2359.39,2334.27,2342.01,22830756
2019-07-08,2337.67,2349.35,2326.33,2339.07,22636798
2019-07-09,2325.9,2327.02,2303.2,2312.63,24567522
2019-07-10,2312.32,2340.95,2305.66,2312.77,33895638
2019-07-11,2322.18,2338.33,2308.2,2316.95,23025409
2019-07-12,2323.61,2325.05,2314.42,2315.36,21936314
2019-07-15,2318.56,2334.1,2316.89,2324.21,20051320
2019-07-16,2326.49,2330.5,2317.18,2321.52,30053394
2019-07-17,2317.45,2320.49,2301.63,2306.67,33032265
2019-07-18,2300.65,2324.71,2291.66,2321.41,28496534
2019-07-19,2325.16,2348.86,2325.16,2344.03,28618974
2019-07-22,2345.61,2350.82,2335.3,2342.51,18652552
2019-07-23,2345.76,2348.43,2332.5,2335.86,20204415
2019-07-24,2336.68,2338.95,2327.66,2335.41,22510591
2019-07-25,2341.04,2344.39,2308.32,2310.31,20967100
2019-07-26,2311.51,2314.19,2299.39,2305.79,18087768
2019-07-29,2307.08,2309.53,2282.08,2285.93,15794970
2019-07-30,2273.72,2282.3,2263.92,2263.92,23157688
2019-07-31,2264.64,2285.25,2263.61,2277.37,29655346
2019-08-01,2273.24,2280.8,2236.98,2240.78,27029469
2019-08-02,2232.92,2233.03,2216.51,2216.51,19929333
2019-08-05,2211.89,2211.89,2164.06,2164.14,25318260
2019-08-06,2169.08,2182.2,2155.33,2156.23,28115391
2019-08-07,2163.21,2173.56,2124.85,2138.23,28871726
2019-08-08,2153.17,2169.27,2152.26,2158.88,22715284
2019-08-09,2165.34,2165.83,2119.89,2127.61,26950992
2019-08-12,2134.55,2140.84,2104.12,2109.73,16353035
2019-08-13,2095.17,2153.16,2085.61,2140.19,26859051
2019-08-14,2134.28,2134.48,2078.39,2078.39,25515986
2019-08-16,2085.34,2096.94,2055.7,2064.12,27565519
2019-08-19,2078.8,2110.19,2078.8,2102.23,19005749
