Date,Open,High,Low,Close,Volume,OpenMax,OpenMin,Day
2020-11-23,1835.53,1860.73,1823.32,1832.04,26237893,1835.53,1835.53,1
2020-11-24,1841.11,1861.39,1831.12,1859.42,26738682,1841.11,1835.53,2
2020-11-25,1866.15,1866.15,1840.63,1860.15,28023478,1866.15,1835.53,3
2020-11-26,1865.67,1873.96,1844.11,1849.57,17687253,1866.15,1835.53,4
2020-11-27,1846.73,1853.78,1834.69,1852.69,20434292,1866.15,1835.53,5
2020-11-30,1845.96,1851.37,1817.83,1830.04,70547131,1866.15,1835.53,1
2020-12-01,1844.33,1871.17,1844.33,1853.38,26822976,1866.15,1835.53,2
2020-12-02,1855.33,1899.37,1845.44,1897.97,27335738,1866.15,1835.53,3
2020-12-03,1900.94,1903.32,1880.22,1890.11,29798820,1900.94,1835.53,4
2020-12-04,1894.4,1952.28,1894.35,1947.68,28408098,1900.94,1835.53,5
2020-12-07,1949.61,1965.92,1926.87,1958.53,32118759,1949.61,1835.53,1
2020-12-08,1941.14,1970.27,1933.68,1970.27,33485126,1949.61,1835.53,2
2020-12-09,1976.65,2023.91,1976.65,1994.12,57962389,1976.65,1835.53,3
2020-12-10,1995.63,2008.96,1975.26,1984.0,40469559,1995.63,1835.53,4
2020-12-11,1985.51,1992.09,1927.53,1950.85,38524912,1995.63,1835.53,5
2020-12-14,1956.48,1961.77,1916.03,1939.07,34170734,1995.63,1835.53,1
2020-12-15,1938.79,1963.56,1933.23,1955.69,27794678,1995.63,1835.53,2
2020-12-16,1963.84,1996.4,1963.84,1985.26,34099333,1995.63,1835.53,3
2020-12-17,1997.91,2014.44,1949.99,1975.76,43583349,1997.91,1835.53,4
2020-12-18,1981.62,1983.94,1947.14,1952.54,61279348,1997.91,1835.53,5
2020-12-21,1929.14,1935.22,1851.23,1888.8,39620662,1997.91,1835.53,1
2020-12-22,1896.48,1931.66,1896.29,1928.4,19823032,1997.91,1835.53,2
2020-12-23,1934.03,1958.16,1927.07,1955.84,18891251,1997.91,1835.53,3
